unique_id,date,model,company,type,rating,price,battery_health
134289267906960,2022-08-15,Pixel 4,Google,android,4,534,55.43
134289267903744,2022-01-26,iphone 7,IPhone,apple,5,655,76.57
134289267903792,2022-02-20,Pixel 6,Google,android,3,568,64.55
134289267906096,2022-07-18,Pixel 6,Google,android,4,691,67.07
134289267902064,2022-02-02,Galaxy 4,Samsung,android,5,771,72.3
134289267900528,2022-01-12,iphone 5,IPhone,apple,3,654,71.57
134289267907152,2022-05-15,Pixel 4,Google,android,4,585,64.24
134289267901152,2022-01-11,Pixel 6,Google,android,4,522,45.43
134289267902016,2022-01-21,Galaxy 4,Samsung,android,4,631,81.56
134289267901200,2022-03-04,Pixel 5,Google,android,3,,64.76
134289267906576,2022-03-18,Pixel 4,Google,android,2,745,61.53
134289267906144,2022-03-13,Galaxy 4,Samsung,android,5,726,77.78
134289267903840,2022-03-22,iphone 5,IPhone,apple,3,576,58.17
134289267907824,2022-01-08,iphone 7,IPhone,apple,5,726,65.27
134289267905472,2022-02-12,iphone 7,IPhone,apple,4,526,49.63
134289267907728,,Galaxy 6,Samsung,android,5,588,82.73
134289267903936,2022-08-19,Galaxy 4,Samsung,android,5,527,93.31
134289267907920,2022-05-28,Pixel 5,Google,android,4,565,51.17
134289267907968,2022-02-26,Galaxy 6,Samsung,android,3,766,77.25
134289267904080,2022-02-10,iphone 5,IPhone,apple,5,759,70.96
134289267904128,2022-01-17,Pixel 5,Google,android,4,895,94.73
134289267905904,2022-02-05,Pixel 5,Google,android,4,631,68.91
134289267906192,2022-08-16,Pixel 5,Google,android,2,502,71.17
134289267907008,2022-01-11,iphone 5,IPhone,apple,4,550,83.57
134289267907200,2022-02-27,Galaxy 5,Samsung,android,3,520,
134289267907344,2022-04-22,iphone 7,IPhone,apple,4,725,79.78
134289267905232,2022-01-29,Pixel 5,Google,android,5,678,50.95
134289267905952,2022-03-08,Pixel 4,Google,android,4,528,61.65
134289267906048,2022-05-19,iphone 5,IPhone,apple,5,509,94.9
134289267903888,2022-04-15,Pixel 5,Google,android,5,854,73.45
134289267903984,2022-05-11,Galaxy 6,Samsung,android,3,542,74.05
134289267908064,2022-01-12,iphone 6,IPhone,apple,5,548,60.29
134289267903696,2022-08-15,Galaxy 5,Samsung,android,5,660,77.91
134289267907248,2022-02-13,iphone 5,IPhone,apple,3,755,58.38
134289267908160,2022-06-15,Pixel 6,Google,android,4,509,70.33
134289267908112,2022-02-07,Pixel 5,Google,android,5,801,96.42
134289267908256,2022-02-19,Pixel 5,Google,android,3,,45.03
134289267908352,2022-03-08,Pixel 5,Google,android,3,511,83.22
134289267908400,2022-02-02,Pixel 5,Google,android,4,510,55.37
134289267908016,2022-01-11,Pixel 6,Google,android,5,592,99.02
134289267908208,2022-02-04,iphone 6,IPhone,apple,4,512,52.58
134289267908496,2022-03-20,Pixel 4,Google,android,5,,91.42
134289267907872,2022-05-08,iphone 7,IPhone,apple,3,532,70.41
134289267907632,2022-03-04,iphone 7,IPhone,apple,4,644,43.09
134289267908304,2022-04-09,Pixel 4,Google,android,5,662,46.2
134289267908448,,Galaxy 4,Samsung,android,3,735,77.93
134289267907536,2022-09-29,Pixel 6,Google,android,4,501,53.05
134289267907440,2022-03-03,iphone 6,IPhone,apple,4,641,85.86
134289267907392,2022-06-02,Pixel 4,Google,android,3,691,83.69
134289267908544,2022-01-14,Pixel 6,Google,android,5,500,93.92
134289267907584,2022-01-11,Pixel 6,Google,android,5,542,84.88
134289267906480,2022-01-04,iphone 5,IPhone,apple,4,530,81.65
134289267906384,2022-01-18,Galaxy 4,Samsung,android,,512,62.71
134289267906336,2022-07-19,Pixel 5,Google,android,1,540,98.93
134289267907488,2022-03-18,Galaxy 4,Samsung,android,4,568,51.31
134289267906528,2022-01-13,Pixel 6,Google,android,4,606,65.77
134289267906240,2022-05-16,Galaxy 4,Samsung,android,5,533,46.09
134289267905760,2022-01-24,iphone 5,IPhone,apple,5,,78.02
134289267905856,2022-04-22,iphone 6,IPhone,apple,4,532,41.01
134289267906432,2022-02-12,Pixel 5,Google,android,5,544,63.83
134289267906288,2022-05-07,Galaxy 6,Samsung,android,5,619,63.79
134289267904032,2022-02-18,Galaxy 5,Samsung,android,3,749,62.69
134289267906000,2022-06-13,Pixel 5,Google,android,4,,59.7
134289267907104,2022-05-06,Pixel 5,Google,android,3,541,65.76
134289267906768,2022-01-15,Galaxy 6,Samsung,android,5,660,82.95
134289267906816,2022-02-03,Pixel 5,Google,android,3,559,66.67
134289267906864,2022-03-25,Pixel 6,Google,android,4,857,47.91
134289267906720,2022-01-28,Pixel 5,Google,android,3,509,67.44
134289267905328,2022-04-29,Pixel 5,Google,android,5,662,78.95
134289267905280,2022-01-29,Pixel 6,Google,android,4,551,64.74
134289267905376,2022-04-17,Galaxy 5,Samsung,android,5,665,52.24
134289267905520,2022-06-04,Galaxy 6,Samsung,android,4,772,84.19
134289267905424,2022-06-16,Pixel 4,Google,android,5,771,54.07
134289267905712,2022-02-28,Pixel 6,Google,android,3,877,65.12
134289267905664,2022-01-06,Pixel 4,Google,android,4,627,82.85
134289267905616,2022-03-07,Pixel 4,Google,android,5,522,85.46
134289267905568,2022-06-07,iphone 7,IPhone,apple,5,569,61.58
134289267905184,2022-11-06,iphone 5,IPhone,apple,3,700,88.75
134289267905136,2022-02-15,Pixel 5,Google,android,5,618,62.92
134289267905088,2022-01-29,Galaxy 4,Samsung,android,,603,97.17
134289267905040,2022-01-04,Galaxy 4,Samsung,android,3,560,83.94
134289267904944,2022-03-16,Galaxy 5,Samsung,android,4,537,70.4
134289267904896,2022-02-25,iphone 5,IPhone,apple,5,762,43.03
134289267904848,2022-01-17,Pixel 6,Google,android,5,,73.02
134289267904800,2022-01-02,Pixel 6,Google,android,5,770,44.36
134289267904752,2022-05-30,iphone 7,IPhone,apple,4,520,48.71
134289267904704,2022-05-10,Galaxy 6,Samsung,android,3,590,56.91
134289267904656,,Pixel 6,Google,android,4,679,43.28
134289267904608,2022-08-29,Galaxy 4,Samsung,android,5,862,84.98
134289267904560,2022-04-18,Galaxy 5,Samsung,android,3,548,
134289267904512,2022-10-23,iphone 6,IPhone,apple,4,775,74.75
134289267904464,2022-01-11,Galaxy 4,Samsung,android,4,633,84.66
134289267904416,2022-03-28,iphone 7,IPhone,apple,5,527,46.99
134289267904368,2022-03-31,Galaxy 5,Samsung,android,3,623,66.21
134289267904320,,iphone 7,IPhone,apple,5,,49.11
134289267904272,2022-01-13,iphone 5,IPhone,apple,4,508,61.33
134289267904224,2022-03-19,Galaxy 6,Samsung,android,5,572,71.42
134289267904176,2022-02-10,iphone 6,IPhone,apple,3,557,44.24
134289267903648,2022-08-29,iphone 7,IPhone,apple,,540,92.42
134289267903600,2022-03-12,Pixel 5,Google,android,3,740,74.02
134289267903552,2022-03-25,iphone 7,IPhone,apple,,711,63.27
134289267903504,2022-01-20,iphone 6,IPhone,apple,4,579,
134289267903456,2022-07-17,Pixel 6,Google,android,,632,78.91
134289267903408,2022-04-17,Pixel 5,Google,android,5,530,76.81
134289267903360,2022-02-08,Pixel 4,Google,android,5,636,75.4
134289267903312,2022-01-18,Galaxy 5,Samsung,android,4,537,53.58
134289267903264,2022-01-03,Pixel 5,Google,android,4,548,59.56
134289267903216,2022-04-14,iphone 7,IPhone,apple,3,732,49.4
134289267903168,2022-01-13,Pixel 4,Google,android,5,619,91.21
